file	path	normalized_path	depth	key_count	key_type_counts	value_type_counts	sample_keys
S_921_full_feature_dict.pickle	root	root	0	195	"{""builtins.str"": 195}"	"{""builtins.list"": 195}"	"[""'107lA'"", ""'108lA'"", ""'109lA'"", ""'110lA'"", ""'111lA'"", ""'112lA'"", ""'113lA'"", ""'114lA'"", ""'115lA'"", ""'118lA'"", ""'119lA'"", ""'120lA'"", ""'122lA'"", ""'123lA'"", ""'125lA'"", ""'126lA'"", ""'127lA'"", ""'128lA'"", ""'137lA'"", ""'1aarA'""]"
S_921_full_feature_dict.pickle	root['107lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['108lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['109lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['110lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['111lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['112lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['113lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['114lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
S_921_full_feature_dict.pickle	root['115lA'][0]	root[<entry>][<idx>]	2	34	"{""builtins.str"": 34}"	"{""numpy.float64"": 14, ""numpy.ndarray"": 9, ""builtins.list"": 5, ""numpy.float32"": 4, ""builtins.str"": 1, ""builtins.float"": 1}"	"[""'mut'"", ""'ddg'"", ""'log_prob'"", ""'top_15_attention_weights'"", ""'top_10_attention_weights'"", ""'top_5_attention_weights'"", ""'top_15_neighbor_indices'"", ""'top_10_neighbor_indices'"", ""'top_5_neighbor_indices'"", ""'top_15_closest_neighbor_indices'"", ""'top_10_closest_neighbor_indices'"", ""'w_n_log_prob'"", ""'m_n_log_prob'"", ""'neighbor_aa_identities'"", ""'neighbor_w_message_vector_coming_from_center'"", ""'neighbor_m_message_vector_coming_from_center'"", ""'center_mut_wild_energy'"", ""'center_mut_max_energy'"", ""'center_entropy'"", ""'weighted_neighbor_entropies'""]"
